T,mean_normal,std_normal,median_normal,ci95_low_normal,ci95_high_normal,pv_normal,pe_normal,mean_fast,std_fast,median_fast,ci95_low_fast,ci95_high_fast,pv_fast,pe_fast,p_value,significant,faster,cohens_d,rank_biserial_r
32,0.5054763,0.10495088225883048,0.5028575,0.4702282276229174,0.5455432127069648,7090342.316741655,226890954.13573295,0.49217376666666657,0.09811755382147068,0.5050574999999999,0.4538329451898134,0.5242308695285011,7281980.9643111825,233023390.85795784,0.8533817367547931,False,True,0.13094115889900337,-0.028888888888888964
64,0.6293072333333334,0.10636273857748445,0.596584,0.595653608603729,0.6708678015873742,5695151.446164318,364489692.5545164,0.6338538000000001,0.11337358833623677,0.6070599999999999,0.5931762197360936,0.671696171355447,5654300.723605348,361875246.31074226,0.9705160513002812,False,False,-0.04136097428777133,-0.006666666666666599
128,0.7255346333333333,0.10858553001729457,0.7202729999999999,0.6865604609690602,0.7628127301361187,4939805.5383434715,632295108.9079643,0.7106768999999998,0.08528526588247719,0.71706,0.6781950374092709,0.7382142188770486,5043079.351530915,645514156.9959571,0.4289633888604326,False,True,0.15217946599755036,-0.1200000000000001
256,0.9679793333333335,0.10140462073989674,0.9576979999999999,0.9349883256587491,1.0055097494927143,3702558.3879545634,947854947.3163682,0.9605267666666666,0.11921405100119736,0.942264,0.9209349658523291,1.0036449326097738,3731285.919743413,955209195.4543138,0.6204037206277525,False,True,0.0673415559671875,-0.0755555555555556
512,1.3715149666666666,0.11850451148999185,1.3933,1.3230020616845408,1.4079150617895768,2613168.7127779312,1337942380.9423008,1.4039676666666667,0.08876443904624984,1.3982549999999998,1.37393925445843,1.4365717201233967,2552765.341462042,1307015854.8285656,0.37503698886859593,False,False,-0.30997119634654985,0.13444444444444448
1024,2.2915359999999994,0.17071916959207276,2.2668049999999997,2.233062830752405,2.352794144423245,1564016.4501015916,1601552844.9040298,2.332593,0.18383126729562965,2.268305,2.27565149472823,2.406549404783394,1536487.505535685,1573363205.6685414,0.37107038605480824,False,False,-0.23144211843323184,0.13555555555555554
2048,3.9495406666666666,0.4679109021652064,3.928045,3.8396360304315467,4.219998320199913,907447.2964029065,1858452063.0331526,3.919089666666667,0.16486429969425817,3.90853,3.8376393657991255,3.9637842838760355,914498.0862477502,1872892080.6353924,0.9234421319782358,False,True,0.08680452286337871,0.015555555555555545
4096,7.295617000000001,0.20452013405901448,7.30379,7.21054158621442,7.358270555526314,491253.8583097221,2012175803.6366217,7.389428,0.4322238542731748,7.296425,7.236451451941653,7.539829285560187,485017.2435538989,1986630629.5967698,0.5297824906260176,False,False,-0.27745145779745856,0.0955555555555555
