T,variant,run,time_ms
256,optimised,14,0.954661
256,optimised,15,0.64652
256,optimised,16,0.940762
256,optimised,17,0.753448
256,optimised,18,1.00942
256,optimised,19,0.927562
256,optimised,20,0.925188
256,optimised,21,0.931543
256,optimised,22,0.913315
256,optimised,23,0.940343
256,optimised,24,0.946559
256,optimised,25,0.972959
256,optimised,26,1.0231
256,optimised,27,0.900534
256,optimised,28,1.20965
256,optimised,29,0.849898
256,optimised,30,0.938597
512,normal,1,1.35925
512,normal,2,1.47204
512,normal,3,1.18311
512,normal,4,1.33781
512,normal,5,1.35569
512,normal,6,1.40081
512,normal,7,1.58561
512,normal,8,1.50236
512,normal,9,1.3962
512,normal,10,1.42008
512,normal,11,0.994959
512,normal,12,1.37036
512,normal,13,1.16586
512,normal,14,1.41484
512,normal,15,1.32321
512,normal,16,1.34696
512,normal,17,1.3978
512,normal,18,1.35087
512,normal,19,1.42029
512,normal,20,1.41037
512,normal,21,1.49076
512,normal,22,1.35988
512,normal,23,1.39152
512,normal,24,1.16935
512,normal,25,1.51437
512,normal,26,1.39508
512,normal,27,1.32028
512,normal,28,1.36197
512,normal,29,1.4358
512,normal,30,1.49796
512,optimised,1,1.39738
512,optimised,2,1.36365
512,optimised,3,1.41121
512,optimised,4,1.40528
512,optimised,5,1.36002
512,optimised,6,1.62276
512,optimised,7,1.42532
512,optimised,8,1.17711
512,optimised,9,1.42183
512,optimised,10,1.389
512,optimised,11,1.31267
512,optimised,12,1.25246
512,optimised,13,1.35311
512,optimised,14,1.34102
512,optimised,15,1.37322
512,optimised,16,1.31839
512,optimised,17,1.46744
512,optimised,18,1.3978
512,optimised,19,1.36631
512,optimised,20,1.39382
512,optimised,21,1.52352
512,optimised,22,1.4937
512,optimised,23,1.50326
512,optimised,24,1.42944
512,optimised,25,1.40241
512,optimised,26,1.57799
512,optimised,27,1.33732
512,optimised,28,1.39871
512,optimised,29,1.47009
512,optimised,30,1.43279
1024,normal,1,2.49054
1024,normal,2,2.04321
1024,normal,3,2.63958
1024,normal,4,2.30246
1024,normal,5,2.26761
1024,normal,6,2.19448
1024,normal,7,2.28828
1024,normal,8,2.47881
1024,normal,9,1.99858
1024,normal,10,2.60061
1024,normal,11,2.23911
1024,normal,12,2.19462
1024,normal,13,2.22081
1024,normal,14,2.59991
1024,normal,15,2.30378
1024,normal,16,2.19476
1024,normal,17,2.43208
1024,normal,18,2.266
1024,normal,19,2.21201
1024,normal,20,2.39507
1024,normal,21,2.21893
1024,normal,22,2.24735
1024,normal,23,2.26998
1024,normal,24,2.17639
1024,normal,25,2.20663
1024,normal,26,2.36196
1024,normal,27,1.88753
1024,normal,28,2.47909
1024,normal,29,2.31503
1024,normal,30,2.22088
1024,optimised,1,2.22186
1024,optimised,2,2.28835
1024,optimised,3,2.2366
1024,optimised,4,2.02435
1024,optimised,5,2.44752
1024,optimised,6,2.53978
1024,optimised,7,2.26076
1024,optimised,8,2.68239
1024,optimised,9,2.15349
1024,optimised,10,2.23939
1024,optimised,11,2.2748
1024,optimised,12,2.22263
